TransportID,OrderID,Type,Capacity,AssignedTo,CurrentStatus
TR0030,OR0030,Rail Tanker,9662.13,"Swanson, Hayes and Davies",Delivered
TR0031,OR0031,Pipeline,15145.55,Smith-Mueller,In Transit
TR0032,OR0032,Pipeline,4899.68,Moreno LLC,In Transit
TR0033,OR0033,Rail Tanker,16992.58,Johnson Group,In Transit
TR0034,OR0034,Ship,7982.67,Perry PLC,In Transit
TR0035,OR0035,Rail Tanker,4038.34,"Franklin, Moore and Moore",Delivered
TR0036,OR0036,Ship,14313.47,Ferguson-Salinas,Delivered
TR0037,OR0037,Pipeline,8442.91,Hernandez Inc,Pending
TR0038,OR0038,Rail Tanker,9776.15,Hughes Group,In Transit
TR0039,OR0039,Pipeline,14235.16,"Taylor, Miller and Olson",In Transit
TR0040,OR0040,Ship,16138.11,Novak-Martinez,In Transit
TR0041,OR0041,Ship,7056.76,"Ryan, Taylor and Hale",In Transit
TR0042,OR0042,Tanker Truck,18193.42,Williams Ltd,In Transit
TR0043,OR0043,Pipeline,3665.75,"Ibarra, Henderson and Schmidt",Pending
TR0044,OR0044,Pipeline,6394.32,"Schmidt, Pearson and Russell",Delivered
TR0045,OR0045,Ship,19627.23,"Thompson, Gutierrez and Phillips",In Transit
TR0046,OR0046,Pipeline,13614.1,Peterson Inc,Pending
TR0047,OR0047,Pipeline,10715.31,"Gregory, Martinez and Gonzalez",Delivered
TR0048,OR0048,Rail Tanker,9456.78,Brown-Hill,Pending
TR0049,OR0049,Rail Tanker,8826.0,Saunders Inc,In Transit
TR0050,OR0050,Pipeline,7429.32,"Henderson, Allen and Mills",Pending
TR0051,OR0051,Tanker Truck,6743.33,Henson and Sons,Pending
TR0052,OR0052,Ship,9316.84,Hamilton-Hernandez,Delivered
TR0053,OR0053,Rail Tanker,6392.15,Garcia-Donovan,Pending
TR0054,OR0054,Pipeline,18153.04,"Stone, Rivas and Grimes",Pending
TR0055,OR0055,Ship,5092.67,"Turner, Lopez and Rios",In Transit
TR0056,OR0056,Pipeline,10420.41,Welch Ltd,In Transit
TR0057,OR0057,Pipeline,16682.02,Cooper Ltd,In Transit
TR0058,OR0058,Rail Tanker,4595.79,"Hoover, Burns and Hale",Delivered
TR0059,OR0059,Tanker Truck,18935.87,Smith-Parsons,In Transit
TR0060,OR0060,Pipeline,14996.18,"Rodriguez, Price and Fritz",In Transit
TR0061,OR0061,Tanker Truck,15736.05,Salinas-Morales,In Transit
TR0062,OR0062,Rail Tanker,9840.17,Peters LLC,In Transit
TR0063,OR0063,Ship,5592.7,Waters-Ryan,Delivered
TR0064,OR0064,Pipeline,16886.92,Taylor-Daniels,Delivered
TR0065,OR0065,Ship,3513.93,Watson-Bryant,Delivered
TR0066,OR0066,Pipeline,11499.31,Guzman Inc,Pending
TR0067,OR0067,Rail Tanker,12003.84,"Stevenson, Ponce and Scott",In Transit
TR0068,OR0068,Ship,1206.07,Rogers-Cervantes,Pending
TR0069,OR0069,Rail Tanker,18641.65,Lee Inc,In Transit
TR0070,OR0070,Tanker Truck,8723.54,"Hughes, Wilson and Smith",Pending
TR0071,OR0071,Ship,18266.67,"Noble, Jackson and Larson",Delivered
TR0072,OR0072,Tanker Truck,3680.81,"Sullivan, Kramer and Banks",Pending
TR0073,OR0073,Pipeline,15164.15,Sanders PLC,Delivered
TR0074,OR0074,Pipeline,9684.43,"Kline, White and Jennings",In Transit
TR0075,OR0075,Ship,9063.01,"George, Mora and Salinas",Pending
TR0076,OR0076,Ship,2816.95,Bennett-Morris,Pending
TR0077,OR0077,Rail Tanker,12066.4,"Caldwell, Christian and Smith",Pending
TR0078,OR0078,Pipeline,12255.86,Dunn-Webb,Delivered
TR0079,OR0079,Pipeline,5209.94,"Hill, Soto and Miller",In Transit
TR0080,OR0080,Ship,10160.94,"Williams, Torres and Mullen",Pending
TR0081,OR0081,Rail Tanker,16603.29,"Jackson, Reese and Doyle",Pending
TR0082,OR0082,Ship,19424.48,Le Inc,Pending
TR0083,OR0083,Tanker Truck,2673.02,Rose Group,In Transit
TR0084,OR0084,Tanker Truck,13021.03,Blake Inc,Pending
TR0085,OR0085,Rail Tanker,11092.36,Nelson-Baldwin,Pending
TR0086,OR0086,Pipeline,19233.91,"Livingston, White and Juarez",Pending
TR0087,OR0087,Rail Tanker,17296.71,"Holder, Johnson and Reyes",Pending
TR0088,OR0088,Ship,12255.19,Gonzalez-Allen,Delivered
TR0089,OR0089,Pipeline,14519.82,Meyer-Cruz,Delivered
TR0090,OR0090,Pipeline,19516.18,"Moore, Smith and White",Pending
TR0091,OR0091,Rail Tanker,1604.27,"Walker, Davis and Hutchinson",Delivered
TR0092,OR0092,Ship,2218.0,Cain-Cortez,Delivered
TR0093,OR0093,Rail Tanker,1986.79,"Hall, Goodwin and Faulkner",Delivered
TR0094,OR0094,Pipeline,3563.95,"Johnson, Collins and Snyder",In Transit
TR0095,OR0095,Ship,17780.59,Taylor-Rich,Pending
TR0096,OR0096,Pipeline,10461.01,Hanson LLC,Delivered
TR0097,OR0097,Ship,18484.57,Klein-Smith,Pending
TR0098,OR0098,Rail Tanker,6442.3,"Macdonald, Robinson and Lane",Pending
TR0099,OR0099,Ship,2981.54,Burns-Steele,Pending
TR0100,OR0100,Tanker Truck,17184.67,Meyer-Hunter,Pending
TR0101,OR0101,Tanker Truck,13829.57,Webster-Williams,Pending
TR0102,OR0102,Pipeline,7538.14,Zamora-Lopez,In Transit
TR0103,OR0103,Tanker Truck,14742.0,Yang-Bryant,Pending
TR0104,OR0104,Tanker Truck,6200.69,Hinton PLC,In Transit
TR0105,OR0105,Pipeline,10422.53,"Greer, Holmes and Weaver",Pending
TR0106,OR0106,Pipeline,18815.53,"Hanson, Payne and Smith",In Transit
TR0107,OR0107,Rail Tanker,5523.78,Harvey Ltd,Pending
TR0108,OR0108,Pipeline,13764.88,"Green, Coleman and Quinn",Pending
TR0109,OR0109,Rail Tanker,11253.03,Jackson Inc,Pending
TR0110,OR0110,Rail Tanker,15430.69,"Kelley, Walsh and Snyder",Delivered
TR0111,OR0111,Tanker Truck,1082.95,Perez LLC,In Transit
TR0112,OR0112,Tanker Truck,12465.76,Davis Inc,Delivered
TR0113,OR0113,Pipeline,12369.69,"Baker, Jordan and Kelley",In Transit
TR0114,OR0114,Ship,17814.85,"Terry, Stevens and Randall",Delivered
TR0115,OR0115,Tanker Truck,3498.39,George-Griffin,Delivered
TR0116,OR0116,Ship,17132.03,Bell-Olson,Pending
TR0117,OR0117,Rail Tanker,18143.08,"Ayers, Brown and Camacho",Delivered
TR0118,OR0118,Pipeline,3475.1,"Gilmore, Morris and Adkins",Delivered
TR0119,OR0119,Rail Tanker,1300.7,Gomez PLC,In Transit
TR0120,OR0120,Pipeline,9865.08,Davidson-Clark,Delivered
TR0121,OR0121,Pipeline,8094.47,"Cooper, Arellano and Cross",In Transit
TR0122,OR0122,Rail Tanker,6837.36,Graham-Moreno,Delivered
TR0123,OR0123,Pipeline,5356.66,"Hawkins, Brown and Walker",In Transit
TR0124,OR0124,Pipeline,18257.25,"Johnson, Torres and Martin",Pending
TR0125,OR0125,Pipeline,15177.73,"Bailey, Watson and Park",Delivered
TR0126,OR0126,Pipeline,7039.15,"Russell, Lewis and West",In Transit
TR0127,OR0127,Rail Tanker,18354.29,Reed-Myers,Pending
TR0128,OR0128,Tanker Truck,16529.88,Miller-Scott,Delivered
TR0129,OR0129,Tanker Truck,11609.57,Schaefer Inc,Pending
TR0130,OR0130,Tanker Truck,7317.37,"Conley, Collins and Patterson",In Transit
TR0131,OR0131,Tanker Truck,11623.51,Thompson Inc,Delivered
TR0132,OR0132,Ship,14221.49,Wilson PLC,In Transit
TR0133,OR0133,Pipeline,4338.46,Obrien-Nelson,Pending
TR0134,OR0134,Rail Tanker,9263.44,Brown-Rodriguez,Delivered
TR0135,OR0135,Ship,1364.12,"Campos, Phillips and Brown",In Transit
TR0136,OR0136,Rail Tanker,4301.16,Carey-Davis,Pending
TR0137,OR0137,Tanker Truck,17706.57,Mcgrath-Moore,Pending
TR0138,OR0138,Ship,9088.12,May Ltd,Pending
TR0139,OR0139,Rail Tanker,10223.35,Oliver-Brown,Pending
TR0140,OR0140,Rail Tanker,3952.09,Dixon LLC,Delivered
TR0141,OR0141,Pipeline,3315.81,Henry-Thompson,Pending
TR0142,OR0142,Pipeline,18467.26,"White, Brown and Macias",Pending
TR0143,OR0143,Rail Tanker,16695.01,Russell PLC,Pending
TR0144,OR0144,Tanker Truck,11464.54,"Zhang, Clark and Espinoza",Pending
TR0145,OR0145,Tanker Truck,15597.03,Peters-Hooper,Delivered
TR0146,OR0146,Tanker Truck,18714.56,Greene-Lee,In Transit
TR0147,OR0147,Tanker Truck,14223.26,"Smith, Daniels and Rasmussen",In Transit
TR0148,OR0148,Ship,16060.02,Smith-Martinez,Pending
TR0149,OR0149,Tanker Truck,7877.57,"Santiago, Ross and Middleton",Pending
TR0150,OR0150,Rail Tanker,6345.46,Martin and Sons,Pending
TR0151,OR0151,Tanker Truck,10576.86,Adkins-Hall,Delivered
TR0152,OR0152,Pipeline,4051.5,Richards-Garcia,Delivered
TR0153,OR0153,Pipeline,7306.41,Wilkerson PLC,In Transit
TR0154,OR0154,Tanker Truck,2474.76,"Thomas, Jackson and Smith",In Transit
TR0155,OR0155,Rail Tanker,8004.88,Bean Ltd,Pending
TR0156,OR0156,Tanker Truck,15659.8,Walker-Jordan,Pending
TR0157,OR0157,Rail Tanker,3085.68,"Welch, Holmes and Jenkins",Pending
TR0158,OR0158,Tanker Truck,2403.88,Quinn LLC,In Transit
TR0159,OR0159,Ship,3204.26,"Neal, Clarke and Mason",Delivered
TR0160,OR0160,Rail Tanker,10470.76,Jimenez-Wiggins,Delivered
TR0161,OR0161,Rail Tanker,15071.36,"Townsend, Johnson and Bates",In Transit
TR0162,OR0162,Pipeline,7474.69,Lopez-Walker,Pending
TR0163,OR0163,Pipeline,17412.42,"Hendrix, Whitehead and Montes",Delivered
TR0164,OR0164,Rail Tanker,19746.33,Smith Group,In Transit
TR0165,OR0165,Rail Tanker,14343.31,Harvey-Hood,In Transit
TR0166,OR0166,Tanker Truck,12908.47,Stark-Harmon,In Transit
TR0167,OR0167,Tanker Truck,2171.35,Ward and Sons,Delivered
TR0168,OR0168,Rail Tanker,4488.71,Castaneda Inc,Pending
TR0169,OR0169,Ship,19466.3,"Clark, Davis and Miller",In Transit
TR0170,OR0170,Rail Tanker,6721.96,"Cabrera, Lara and Mcguire",Pending
TR0171,OR0171,Tanker Truck,13223.19,"Saunders, Vega and Kaufman",Delivered
TR0172,OR0172,Pipeline,12196.69,"Perez, Lopez and Robinson",In Transit
TR0173,OR0173,Tanker Truck,14181.04,Barrett and Sons,Delivered
TR0174,OR0174,Pipeline,6247.14,Lewis-Terrell,Pending
TR0175,OR0175,Ship,2073.11,Nelson-Suarez,In Transit
TR0176,OR0176,Tanker Truck,6812.37,Sanchez-Herring,In Transit
TR0177,OR0177,Ship,2369.22,"Roman, Sanchez and Stevens",Delivered
TR0178,OR0178,Ship,4886.0,Diaz-Young,Delivered
TR0179,OR0179,Rail Tanker,11423.36,Anderson Ltd,In Transit
TR0180,OR0180,Ship,15170.57,"Gonzales, Hamilton and Edwards",Pending
TR0181,OR0181,Tanker Truck,16055.15,Brown Inc,Pending
TR0182,OR0182,Rail Tanker,5910.3,Dickerson-Preston,Delivered
TR0183,OR0183,Pipeline,2750.81,Cooley LLC,Pending
TR0184,OR0184,Tanker Truck,6512.14,Crawford-Price,In Transit
TR0185,OR0185,Tanker Truck,6030.76,"Smith, Orr and Clayton",Pending
TR0186,OR0186,Tanker Truck,17751.22,Roy-Stewart,Delivered
TR0187,OR0187,Tanker Truck,7698.99,"Colon, Harrington and Terry",In Transit
TR0188,OR0188,Ship,5996.15,"Harris, Fuller and Blair",In Transit
TR0189,OR0189,Pipeline,14457.85,Walker Inc,Delivered
TR0190,OR0190,Ship,6573.77,Chandler PLC,Delivered
TR0191,OR0191,Pipeline,19141.83,Mathis Ltd,Pending
TR0192,OR0192,Rail Tanker,13044.29,Rodriguez LLC,Delivered
TR0193,OR0193,Rail Tanker,4554.46,Davis-Scott,Pending
TR0194,OR0194,Ship,2064.24,Ward Inc,Pending
TR0195,OR0195,Rail Tanker,8843.27,Lozano-Stewart,In Transit
TR0196,OR0196,Rail Tanker,1939.75,Bryant-Skinner,Pending
TR0197,OR0197,Tanker Truck,6539.0,"Jones, Tran and Rivera",Delivered
TR0198,OR0198,Tanker Truck,14396.35,Fowler-Jones,Delivered
TR0199,OR0199,Ship,4190.31,"Pham, Brooks and Hicks",In Transit
TR0200,OR0200,Pipeline,2693.51,Whitaker and Sons,In Transit
TR0201,OR0201,Pipeline,9850.35,Sellers-Harris,Pending
TR0202,OR0202,Ship,18443.2,Odonnell-Fields,Pending
TR0203,OR0203,Tanker Truck,19182.78,Williams-Medina,Delivered
TR0204,OR0204,Pipeline,6960.65,"Bishop, Williams and Lee",In Transit
TR0205,OR0205,Ship,18326.37,Bennett Group,In Transit
TR0206,OR0206,Ship,9296.53,"Bryant, Morse and Smith",Delivered
TR0207,OR0207,Pipeline,10479.19,"Camacho, Mitchell and Hernandez",In Transit
TR0208,OR0208,Rail Tanker,4111.92,Jackson-Smith,Delivered
TR0209,OR0209,Tanker Truck,9316.52,Barnes-Thornton,In Transit
TR0210,OR0210,Tanker Truck,8545.29,Johnson Inc,Delivered
TR0211,OR0211,Pipeline,14790.15,Johnson-Torres,Pending
TR0212,OR0212,Ship,13797.74,Diaz-Shaw,Delivered
TR0213,OR0213,Pipeline,16110.66,"Sanchez, Sutton and Carey",Pending
TR0214,OR0214,Pipeline,2385.91,"Mitchell, Mann and Chang",Pending
TR0215,OR0215,Rail Tanker,11120.32,Cummings LLC,Pending
TR0216,OR0216,Tanker Truck,12297.9,Thomas-Hayes,In Transit
TR0217,OR0217,Tanker Truck,6334.8,Reed-Briggs,Delivered
TR0218,OR0218,Ship,15192.1,Small and Sons,Delivered
TR0219,OR0219,Pipeline,9528.35,Morgan Ltd,In Transit
TR0220,OR0220,Tanker Truck,4572.08,Cox Group,In Transit
TR0221,OR0221,Ship,4742.69,"Anderson, Graves and Ramirez",Pending
TR0222,OR0222,Ship,18188.69,Fletcher-Holmes,Pending
TR0223,OR0223,Tanker Truck,5039.9,"Crawford, Burnett and Brown",In Transit
TR0224,OR0224,Ship,14306.96,Olsen-Rowland,Pending
TR0225,OR0225,Pipeline,14709.35,"Potter, Castro and Morgan",In Transit
TR0226,OR0226,Ship,16551.37,Hughes-Holt,Delivered
TR0227,OR0227,Pipeline,18146.95,"Carter, Ferguson and Lewis",In Transit
TR0228,OR0228,Pipeline,2343.15,Payne LLC,Pending
TR0229,OR0229,Pipeline,7618.53,"Murphy, Evans and Reyes",In Transit
TR0230,OR0230,Pipeline,9927.65,"Buckley, Taylor and Hughes",In Transit
TR0231,OR0231,Pipeline,9086.11,"Brown, Carter and Charles",Delivered
TR0232,OR0232,Pipeline,16534.62,Kelly Group,Pending
TR0233,OR0233,Tanker Truck,12340.14,"Hayes, Henson and Wells",Pending
TR0234,OR0234,Tanker Truck,12505.0,Conrad Inc,Pending
TR0235,OR0235,Pipeline,12105.57,"West, Graham and Evans",Delivered
TR0236,OR0236,Rail Tanker,5980.13,Neal-Moore,In Transit
TR0237,OR0237,Rail Tanker,1402.7,Black-Stewart,In Transit
TR0238,OR0238,Tanker Truck,6129.75,Bailey-Bryan,Delivered
TR0239,OR0239,Tanker Truck,6367.58,Santiago LLC,Pending
TR0240,OR0240,Rail Tanker,14786.7,Williams PLC,Delivered
TR0241,OR0241,Pipeline,14720.24,Powell Ltd,Delivered
TR0242,OR0242,Pipeline,15410.09,Robinson-Thompson,In Transit
TR0243,OR0243,Rail Tanker,16305.92,"Mcguire, Lucero and Williams",In Transit
TR0244,OR0244,Ship,1931.49,"Allen, Johnson and Webster",In Transit
TR0245,OR0245,Rail Tanker,13122.19,Knight LLC,Delivered
TR0246,OR0246,Ship,5759.17,"Rich, Horton and Davis",Pending
TR0247,OR0247,Ship,17643.54,"Green, Wilkins and Sanchez",In Transit
TR0248,OR0248,Ship,12737.29,"Clark, Washington and Smith",Delivered
TR0249,OR0249,Tanker Truck,14018.47,"Stone, Griffith and Russell",Delivered
TR0250,OR0250,Ship,10654.56,"Beck, Robinson and Hudson",Delivered
TR0251,OR0251,Rail Tanker,15209.47,Turner Ltd,In Transit
TR0252,OR0252,Tanker Truck,16539.69,Graves-Wang,Pending
TR0253,OR0253,Pipeline,3574.44,Price-Hopkins,In Transit
TR0254,OR0254,Rail Tanker,3365.35,Santos-Alvarado,In Transit
TR0255,OR0255,Rail Tanker,19812.65,Manning-Mueller,Delivered
TR0256,OR0256,Tanker Truck,8703.74,"Gonzales, Robinson and Doyle",Delivered
TR0257,OR0257,Tanker Truck,2351.56,Burns-Marquez,Delivered
TR0258,OR0258,Rail Tanker,14829.05,Baker and Sons,In Transit
TR0259,OR0259,Ship,6892.66,White LLC,Pending
TR0260,OR0260,Tanker Truck,14807.08,Robertson-Black,Delivered
TR0261,OR0261,Ship,3181.8,Fields-Allen,Delivered
TR0262,OR0262,Ship,11984.6,Thomas-Lopez,Pending
TR0263,OR0263,Rail Tanker,17798.3,Mccarthy-King,Delivered
TR0264,OR0264,Rail Tanker,5852.37,Thomas and Sons,Pending
TR0265,OR0265,Ship,1454.47,"Paul, Cole and Welch",In Transit
TR0266,OR0266,Pipeline,4293.12,Delacruz-Beard,Pending
TR0267,OR0267,Tanker Truck,15305.09,Gonzalez Inc,Delivered
TR0268,OR0268,Rail Tanker,1454.02,Cunningham-Reid,Delivered
TR0269,OR0269,Ship,11076.12,"Mathis, Dunn and Parker",Delivered
TR0270,OR0270,Tanker Truck,5887.09,Thompson-Cardenas,Delivered
TR0271,OR0271,Ship,16304.79,Owens-Barajas,Pending
TR0272,OR0272,Ship,4488.0,Burke-Howard,Delivered
TR0273,OR0273,Pipeline,10483.03,"Castro, Nguyen and Olsen",In Transit
TR0274,OR0274,Ship,15829.84,Bennett-Moore,Delivered
TR0275,OR0275,Tanker Truck,16421.37,Garcia PLC,Pending
TR0276,OR0276,Ship,4226.35,Mitchell-Liu,In Transit
TR0277,OR0277,Pipeline,16218.17,Leonard PLC,Delivered
TR0278,OR0278,Ship,19276.92,Huber-Williams,Pending
TR0279,OR0279,Rail Tanker,19862.2,"Nunez, Foster and Price",Delivered
TR0280,OR0280,Tanker Truck,9739.66,Cox Inc,Pending
TR0281,OR0281,Pipeline,9291.92,Nicholson-Bowman,Delivered
TR0282,OR0282,Rail Tanker,8963.65,Castro-Evans,In Transit
TR0283,OR0283,Tanker Truck,2215.95,Pitts LLC,Pending
TR0284,OR0284,Pipeline,14746.89,"Gutierrez, Fischer and Sanchez",Pending
TR0285,OR0285,Pipeline,1591.31,"Gray, Bonilla and Fleming",Pending
TR0286,OR0286,Pipeline,10037.88,Russo-Oconnor,Delivered
TR0287,OR0287,Tanker Truck,16320.31,Mann PLC,Delivered
TR0288,OR0288,Rail Tanker,5601.2,Payne LLC,Delivered
TR0289,OR0289,Tanker Truck,17821.61,Young-Wright,Pending
TR0290,OR0290,Ship,2932.33,"Glass, Garrison and Phillips",In Transit
TR0291,OR0291,Rail Tanker,19647.71,Rodriguez LLC,In Transit
TR0292,OR0292,Ship,15347.08,Cabrera PLC,Pending
TR0293,OR0293,Rail Tanker,11996.77,"Donovan, Wong and Frey",Delivered
TR0294,OR0294,Ship,13779.52,Jones Ltd,In Transit
TR0295,OR0295,Tanker Truck,3404.45,Richards-Ramirez,In Transit
TR0296,OR0296,Pipeline,8211.11,Gonzalez-Webster,Pending
TR0297,OR0297,Tanker Truck,11116.79,Smith Group,In Transit
TR0298,OR0298,Pipeline,2747.14,"Smith, Moore and Stevens",Delivered
TR0299,OR0299,Pipeline,5497.24,Fernandez Group,Pending
TR0300,OR0300,Ship,4216.85,Ross-Peters,Pending
TR0301,OR0301,Tanker Truck,11256.22,Harvey LLC,In Transit
TR0302,OR0302,Tanker Truck,19562.29,Gross Group,Delivered
TR0303,OR0303,Tanker Truck,7119.97,"Gibson, York and Diaz",Delivered
TR0304,OR0304,Rail Tanker,1240.05,Ibarra-Crawford,In Transit
TR0305,OR0305,Pipeline,9366.37,Anderson-Evans,Pending
TR0306,OR0306,Rail Tanker,11590.0,Thompson Ltd,Pending
TR0307,OR0307,Tanker Truck,6873.25,Miller Group,Pending
TR0308,OR0308,Tanker Truck,13505.4,Parks Inc,In Transit
TR0309,OR0309,Rail Tanker,2996.61,"Rodriguez, Wheeler and Klein",In Transit
TR0310,OR0310,Tanker Truck,15987.92,"Smith, Hunt and George",In Transit
TR0311,OR0311,Rail Tanker,5242.37,"Sullivan, Taylor and Richardson",Pending
TR0312,OR0312,Ship,17678.3,"Smith, Gentry and Jones",Delivered
TR0313,OR0313,Rail Tanker,10243.51,Heath-Mccoy,Delivered
TR0314,OR0314,Rail Tanker,13553.15,"Mccarty, Bates and Oliver",Delivered
TR0315,OR0315,Pipeline,10144.29,Marshall Inc,Pending
TR0316,OR0316,Tanker Truck,19818.75,Shelton PLC,Pending
TR0317,OR0317,Pipeline,1078.29,Lee Ltd,Delivered
TR0318,OR0318,Rail Tanker,10909.49,"Lee, Fry and Stone",Pending
TR0319,OR0319,Pipeline,12546.15,"Massey, Smith and Reyes",Pending
TR0320,OR0320,Pipeline,18053.83,Pennington-Johnson,Delivered
TR0321,OR0321,Rail Tanker,1779.73,Tucker-Moore,In Transit
TR0322,OR0322,Ship,7468.27,Ortega-Sanders,In Transit
TR0323,OR0323,Rail Tanker,13560.38,"Powers, Irwin and Smith",Pending
TR0324,OR0324,Ship,17211.69,"Vaughn, Baker and Mccullough",In Transit
TR0325,OR0325,Rail Tanker,16565.14,Guerrero PLC,Pending
TR0326,OR0326,Pipeline,15529.8,"Tucker, Anderson and Ferguson",In Transit
TR0327,OR0327,Rail Tanker,10553.37,Nelson Group,Delivered
TR0328,OR0328,Tanker Truck,19857.94,Chan-Dickson,Pending
TR0329,OR0329,Ship,8402.39,Walton Group,Pending
TR0330,OR0330,Ship,6638.21,"Wilson, Jones and Collins",Pending
TR0331,OR0331,Tanker Truck,1467.89,"Reid, Hicks and Morton",Pending
TR0332,OR0332,Tanker Truck,12844.22,Nelson Group,Pending
TR0333,OR0333,Rail Tanker,18255.21,Williams Inc,Pending
TR0334,OR0334,Ship,17141.21,"Gordon, Burch and Young",Delivered
TR0335,OR0335,Ship,19548.08,Larson-Weaver,Pending
TR0336,OR0336,Rail Tanker,8537.25,"Savage, Howell and Armstrong",Delivered
TR0337,OR0337,Ship,18371.37,"Case, Davis and Anthony",Delivered
TR0338,OR0338,Pipeline,1184.2,Allison Inc,Pending
TR0339,OR0339,Ship,7909.23,"Weaver, Fernandez and Kennedy",Pending
TR0340,OR0340,Ship,15357.61,Rivera-Lynn,In Transit
TR0341,OR0341,Ship,9153.06,Mullins-Richards,Pending
TR0342,OR0342,Ship,7984.57,"Gould, Moore and Smith",In Transit
TR0343,OR0343,Rail Tanker,17248.75,Lara and Sons,In Transit
TR0344,OR0344,Tanker Truck,18440.79,Flores and Sons,In Transit
TR0345,OR0345,Pipeline,14394.39,Anderson-Ortiz,Pending
TR0346,OR0346,Pipeline,7454.71,Wilkins PLC,In Transit
TR0347,OR0347,Tanker Truck,2537.59,Navarro and Sons,Pending
TR0348,OR0348,Pipeline,1060.7,Taylor Inc,Delivered
TR0349,OR0349,Ship,17746.77,Sanchez-Powell,Delivered
TR0350,OR0350,Rail Tanker,14760.48,Smith-Conley,In Transit
TR0351,OR0351,Tanker Truck,9949.38,Bell-Mack,Pending
TR0352,OR0352,Ship,17668.74,Singh Group,Pending
TR0353,OR0353,Pipeline,7323.47,"Thompson, Hall and Moore",Pending
TR0354,OR0354,Tanker Truck,9744.67,Gutierrez Ltd,Delivered
TR0355,OR0355,Ship,16392.07,Kramer Group,Pending
TR0356,OR0356,Tanker Truck,8535.17,"Wong, George and Williams",Delivered
TR0357,OR0357,Pipeline,7547.13,Martinez-Taylor,In Transit
TR0358,OR0358,Ship,18467.43,Bailey Group,Pending
TR0359,OR0359,Rail Tanker,9280.23,Howard-Hill,Delivered
TR0360,OR0360,Tanker Truck,15279.35,"Meyers, Winters and Garrett",Delivered
TR0361,OR0361,Ship,5715.8,"Boyd, Morales and Butler",Delivered
TR0362,OR0362,Ship,18670.55,"Lewis, Torres and Rose",Pending
TR0363,OR0363,Ship,19333.45,"Roberts, Taylor and Cole",Delivered
TR0364,OR0364,Pipeline,15976.52,Young Group,Delivered
TR0365,OR0365,Pipeline,14891.13,"Williams, Williams and Wu",In Transit
TR0366,OR0366,Rail Tanker,19350.66,Fisher and Sons,Delivered
TR0367,OR0367,Tanker Truck,19710.13,"Brown, Hamilton and Robinson",Delivered
TR0368,OR0368,Ship,17031.47,Roth Group,Delivered
TR0369,OR0369,Pipeline,8255.66,Martinez-Thomas,Pending
TR0370,OR0370,Ship,5445.83,Moss-Miller,In Transit
TR0371,OR0371,Pipeline,4924.98,Stephens PLC,Delivered
TR0372,OR0372,Rail Tanker,4876.08,Hicks Inc,Delivered
TR0373,OR0373,Rail Tanker,10795.32,Lucas and Sons,In Transit
TR0374,OR0374,Ship,1061.06,"Alexander, Perkins and Kelly",Pending
TR0375,OR0375,Pipeline,14213.93,"Rodriguez, Savage and Taylor",In Transit
TR0376,OR0376,Tanker Truck,3034.97,Wilson PLC,In Transit
