PaymentID,SaleID,SupplierID,PaymentDate,Amount,PaymentType
PA0108,SA0108,SU004,2024-01-28,14584.05,Credit
PA0109,SA0109,SU007,2024-01-31,431.63,Credit
PA0110,SA0110,SU009,2024-01-31,10529.33,Credit
PA0111,SA0111,SU008,2024-02-01,2954.82,Credit
PA0112,SA0112,SU005,2024-01-29,17097.9,Credit
PA0113,SA0113,SU009,2024-01-21,2190.8999999999996,Bank Transfer
PA0114,SA0114,SU010,2024-01-12,2812.2200000000003,Bank Transfer
PA0115,SA0115,SU003,2024-01-28,29965.45,Credit
PA0116,SA0116,SU006,2024-01-12,22520.289999999997,Credit
PA0117,SA0117,SU007,2024-02-07,15515.46,Cash
PA0118,SA0118,SU001,2024-01-26,26528.63,Credit
PA0119,SA0119,SU002,2024-02-02,18118.05,Cash
PA0120,SA0120,SU004,2024-01-06,1662.49,Cash
PA0121,SA0121,SU003,2024-02-05,3709.82,Bank Transfer
PA0122,SA0122,SU005,2024-01-18,17662.100000000002,Credit
PA0123,SA0123,SU007,2024-02-07,13216.939999999999,Credit
PA0124,SA0124,SU008,2024-01-08,17879.78,Mobile Payment
PA0125,SA0125,SU006,2024-01-22,5855.29,Cash
PA0126,SA0126,SU006,2024-01-19,7792.37,Bank Transfer
PA0127,SA0127,SU002,2024-01-08,23217.420000000002,Mobile Payment
PA0128,SA0128,SU006,2024-01-06,5054.320000000001,Bank Transfer
PA0129,SA0129,SU001,2024-01-17,4511.530000000001,Mobile Payment
PA0130,SA0130,SU002,2024-01-25,13206.349999999999,Cash
PA0131,SA0131,SU004,2024-01-30,18393.31,Credit
PA0132,SA0132,SU003,2024-01-15,4414.5,Credit
PA0133,SA0133,SU004,2024-01-27,26711.96,Mobile Payment
PA0134,SA0134,SU004,2024-01-07,19052.22,Credit
PA0135,SA0135,SU009,2024-02-10,11286.92,Bank Transfer
PA0136,SA0136,SU006,2024-02-04,26191.31,Bank Transfer
PA0137,SA0137,SU005,2024-01-08,11910.3,Cash
PA0138,SA0138,SU007,2024-01-25,2519.07,Mobile Payment
PA0139,SA0139,SU009,2024-02-04,28609.51,Bank Transfer
PA0140,SA0140,SU010,2024-01-29,5902.219999999999,Cash
PA0141,SA0141,SU004,2024-01-12,1006.8600000000001,Bank Transfer
PA0142,SA0142,SU007,2024-01-23,19096.72,Bank Transfer
PA0143,SA0143,SU001,2024-01-24,8736.16,Credit
PA0144,SA0144,SU006,2024-01-27,20335.65,Cash
PA0145,SA0145,SU006,2024-01-31,15732.84,Cash
PA0146,SA0146,SU006,2024-01-24,26905.12,Mobile Payment
PA0147,SA0147,SU006,2024-01-28,8455.66,Cash
PA0148,SA0148,SU005,2024-01-19,15651.19,Credit
PA0149,SA0149,SU006,2024-01-27,19796.98,Credit
PA0150,SA0150,SU010,2024-01-29,24726.32,Mobile Payment
PA0151,SA0151,SU008,2024-01-20,10364.15,Cash
PA0152,SA0152,SU007,2024-01-18,12907.33,Bank Transfer
PA0153,SA0153,SU004,2024-01-24,6563.69,Credit
PA0154,SA0154,SU004,2024-01-16,15729.92,Cash
PA0155,SA0155,SU010,2024-01-15,17254.93,Bank Transfer
PA0156,SA0156,SU010,2024-01-24,13802.279999999999,Bank Transfer
PA0157,SA0157,SU004,2024-02-04,7765.58,Credit
PA0158,SA0158,SU004,2024-01-25,10237.65,Cash
PA0159,SA0159,SU009,2024-01-19,11288.039999999999,Mobile Payment
PA0160,SA0160,SU009,2024-01-23,884.5600000000001,Cash
PA0161,SA0161,SU009,2024-02-04,20029.71,Mobile Payment
PA0162,SA0162,SU004,2024-01-18,16858.45,Cash
PA0163,SA0163,SU005,2024-02-01,15141.0,Bank Transfer
PA0164,SA0164,SU001,2024-02-04,13823.039999999999,Mobile Payment
PA0165,SA0165,SU005,2024-01-22,6504.01,Cash
PA0166,SA0166,SU001,2024-01-29,29162.18,Mobile Payment
PA0167,SA0167,SU004,2024-01-20,23545.38,Cash
PA0168,SA0168,SU009,2024-01-11,12706.08,Mobile Payment
PA0169,SA0169,SU004,2024-02-03,17465.16,Mobile Payment
PA0170,SA0170,SU010,2024-01-19,25658.86,Mobile Payment
PA0171,SA0171,SU005,2024-02-05,2570.57,Mobile Payment
PA0172,SA0172,SU005,2024-01-09,33619.5,Bank Transfer
PA0173,SA0173,SU010,2024-01-28,2999.0699999999997,Cash
PA0174,SA0174,SU008,2024-01-11,2280.25,Credit
PA0175,SA0175,SU006,2024-01-13,15610.210000000001,Bank Transfer
PA0176,SA0176,SU004,2024-02-05,24762.57,Mobile Payment
PA0177,SA0177,SU007,2024-01-15,12642.52,Credit
PA0178,SA0178,SU001,2024-01-09,1915.71,Mobile Payment
PA0179,SA0179,SU010,2024-02-05,10003.71,Cash
PA0180,SA0180,SU001,2024-02-04,9343.28,Bank Transfer
PA0181,SA0181,SU004,2024-01-12,10740.28,Cash
PA0182,SA0182,SU010,2024-01-31,15263.5,Bank Transfer
PA0183,SA0183,SU001,2024-01-07,2389.8700000000003,Bank Transfer
PA0184,SA0184,SU006,2024-01-21,20196.920000000002,Credit
PA0185,SA0185,SU005,2024-01-17,290.03999999999996,Bank Transfer
PA0186,SA0186,SU002,2024-01-13,18596.8,Cash
PA0187,SA0187,SU003,2024-01-20,1071.35,Credit
PA0188,SA0188,SU007,2024-01-07,6683.23,Mobile Payment
PA0189,SA0189,SU005,2024-01-26,9631.800000000001,Cash
PA0190,SA0190,SU001,2024-02-01,22987.440000000002,Cash
PA0191,SA0191,SU006,2024-01-25,15851.71,Bank Transfer
PA0192,SA0192,SU004,2024-02-02,1594.76,Mobile Payment
PA0193,SA0193,SU006,2024-01-13,11167.06,Credit
PA0194,SA0194,SU008,2024-01-27,17949.89,Mobile Payment
PA0195,SA0195,SU008,2024-01-18,17502.5,Credit
PA0196,SA0196,SU010,2024-01-22,1763.28,Bank Transfer
PA0197,SA0197,SU006,2024-01-12,11501.33,Mobile Payment
PA0198,SA0198,SU010,2024-01-14,10868.679999999998,Bank Transfer
PA0199,SA0199,SU008,2024-01-09,9294.45,Credit
PA0200,SA0200,SU009,2024-02-08,9956.81,Cash
PA0201,SA0201,SU003,2024-02-02,14520.300000000001,Cash
PA0202,SA0202,SU009,2024-01-30,9795.74,Credit
PA0203,SA0203,SU007,2024-01-15,16919.710000000003,Mobile Payment
PA0204,SA0204,SU007,2024-01-13,5059.389999999999,Cash
PA0205,SA0205,SU008,2024-02-04,9754.22,Bank Transfer
PA0206,SA0206,SU006,2024-02-03,4875.04,Credit
PA0207,SA0207,SU005,2024-01-28,11787.439999999999,Cash
PA0208,SA0208,SU009,2024-01-26,6683.4400000000005,Bank Transfer
PA0209,SA0209,SU006,2024-01-04,44.34,Mobile Payment
PA0210,SA0210,SU006,2024-01-10,17864.31,Mobile Payment
PA0211,SA0211,SU002,2024-02-04,24678.85,Mobile Payment
PA0212,SA0212,SU003,2024-01-09,15117.98,Cash
PA0213,SA0213,SU010,2024-01-09,2896.83,Credit
PA0214,SA0214,SU006,2024-02-10,26474.309999999998,Mobile Payment
PA0215,SA0215,SU004,2024-01-17,5669.7300000000005,Credit
PA0216,SA0216,SU010,2024-01-13,5682.38,Mobile Payment
PA0217,SA0217,SU004,2024-01-24,12789.29,Credit
PA0218,SA0218,SU005,2024-01-31,11669.369999999999,Mobile Payment
PA0219,SA0219,SU002,2024-01-19,33854.5,Mobile Payment
PA0220,SA0220,SU007,2024-01-16,1983.8100000000002,Credit
PA0221,SA0221,SU005,2024-01-27,15246.06,Cash
PA0222,SA0222,SU006,2024-02-11,2610.5299999999997,Mobile Payment
PA0223,SA0223,SU001,2024-01-10,13939.93,Cash
PA0224,SA0224,SU003,2024-01-21,20949.789999999997,Bank Transfer
PA0225,SA0225,SU001,2024-01-22,22394.0,Credit
PA0226,SA0226,SU001,2024-01-11,17232.87,Credit
PA0227,SA0227,SU005,2024-01-17,3099.2799999999997,Bank Transfer
PA0228,SA0228,SU008,2024-02-02,4674.6,Credit
PA0229,SA0229,SU003,2024-01-28,426.26,Mobile Payment
PA0230,SA0230,SU008,2024-01-27,23292.06,Cash
PA0231,SA0231,SU008,2024-01-20,10013.09,Cash
PA0232,SA0232,SU007,2024-01-23,29103.48,Cash
PA0233,SA0233,SU005,2024-01-10,7866.360000000001,Mobile Payment
PA0234,SA0234,SU005,2024-01-26,4213.27,Cash
PA0235,SA0235,SU005,2024-01-24,9340.43,Cash
PA0236,SA0236,SU010,2024-01-06,13303.36,Mobile Payment
PA0237,SA0237,SU008,2024-01-19,15116.72,Credit
PA0238,SA0238,SU008,2024-01-11,25352.15,Mobile Payment
PA0239,SA0239,SU003,2024-01-11,13709.140000000001,Credit
PA0240,SA0240,SU007,2024-01-09,805.82,Bank Transfer
PA0241,SA0241,SU008,2024-01-11,13239.25,Mobile Payment
PA0242,SA0242,SU001,2024-01-21,28152.24,Cash
PA0243,SA0243,SU001,2024-01-07,5229.570000000001,Mobile Payment
PA0244,SA0244,SU002,2024-01-18,18482.55,Mobile Payment
PA0245,SA0245,SU009,2024-01-31,15131.65,Mobile Payment
PA0246,SA0246,SU008,2024-01-23,16828.469999999998,Mobile Payment
PA0247,SA0247,SU003,2024-01-20,6135.2300000000005,Mobile Payment
PA0248,SA0248,SU001,2024-01-27,17837.61,Bank Transfer
PA0249,SA0249,SU001,2024-01-27,14344.26,Bank Transfer
PA0250,SA0250,SU008,2024-01-23,3339.6,Cash
PA0251,SA0251,SU006,2024-02-05,15472.34,Cash
PA0252,SA0252,SU006,2024-01-18,7659.39,Mobile Payment
PA0253,SA0253,SU001,2024-01-20,11999.41,Credit
PA0254,SA0254,SU010,2024-02-01,8946.880000000001,Mobile Payment
PA0255,SA0255,SU009,2024-01-23,16406.36,Cash
PA0256,SA0256,SU007,2024-01-25,10279.3,Cash
PA0257,SA0257,SU007,2024-01-13,13148.18,Mobile Payment
PA0258,SA0258,SU004,2024-01-20,9765.730000000001,Cash
PA0259,SA0259,SU009,2024-01-23,21052.12,Cash
PA0260,SA0260,SU001,2024-01-22,20347.73,Bank Transfer
PA0261,SA0261,SU005,2024-02-01,15759.67,Mobile Payment
PA0262,SA0262,SU006,2024-01-12,15750.72,Mobile Payment
PA0263,SA0263,SU004,2024-01-31,7102.32,Mobile Payment
PA0264,SA0264,SU003,2024-02-03,13604.449999999999,Cash
PA0265,SA0265,SU002,2024-02-04,9258.08,Cash
PA0266,SA0266,SU009,2024-01-28,29033.82,Cash
PA0267,SA0267,SU002,2024-02-04,6588.11,Bank Transfer
PA0268,SA0268,SU010,2024-01-16,2617.6,Cash
PA0269,SA0269,SU002,2024-02-06,12113.06,Mobile Payment
PA0270,SA0270,SU009,2024-01-31,12450.26,Credit
PA0271,SA0271,SU009,2024-01-18,17820.54,Mobile Payment
PA0272,SA0272,SU001,2024-02-06,222.92000000000002,Credit
PA0273,SA0273,SU003,2024-01-19,16809.26,Mobile Payment
PA0274,SA0274,SU007,2024-01-22,22929.68,Cash
PA0275,SA0275,SU007,2024-01-26,28546.22,Bank Transfer
PA0276,SA0276,SU002,2024-01-16,1700.75,Mobile Payment
PA0277,SA0277,SU006,2024-02-01,29674.879999999997,Mobile Payment
PA0278,SA0278,SU007,2024-01-21,6314.0,Cash
PA0279,SA0279,SU001,2024-01-22,17904.63,Cash
PA0280,SA0280,SU002,2024-02-06,12120.76,Credit
PA0281,SA0281,SU010,2024-02-03,25218.230000000003,Bank Transfer
PA0282,SA0282,SU005,2024-01-18,3632.4900000000002,Bank Transfer
PA0283,SA0283,SU010,2024-02-02,6794.18,Bank Transfer
PA0284,SA0284,SU007,2024-01-13,3125.13,Mobile Payment
PA0285,SA0285,SU008,2024-02-07,10913.27,Credit
PA0286,SA0286,SU007,2024-01-16,16495.11,Bank Transfer
PA0287,SA0287,SU010,2024-01-21,16724.83,Mobile Payment
PA0288,SA0288,SU004,2024-01-23,4807.59,Cash
PA0289,SA0289,SU002,2024-01-15,4136.37,Credit
PA0290,SA0290,SU009,2024-01-23,19288.41,Credit
PA0291,SA0291,SU005,2024-02-07,28155.79,Mobile Payment
PA0292,SA0292,SU005,2024-01-23,24843.52,Mobile Payment
PA0293,SA0293,SU001,2024-01-21,2024.15,Cash
PA0294,SA0294,SU006,2024-01-07,15872.400000000001,Credit
PA0295,SA0295,SU010,2024-01-28,13658.16,Credit
PA0296,SA0296,SU005,2024-01-18,10826.83,Cash
PA0297,SA0297,SU010,2024-01-10,9243.02,Mobile Payment
PA0298,SA0298,SU004,2024-01-24,2489.8399999999997,Mobile Payment
PA0299,SA0299,SU002,2024-01-28,25841.79,Bank Transfer
PA0300,SA0300,SU004,2024-02-08,25760.89,Mobile Payment
PA0301,SA0301,SU002,2024-02-03,8771.09,Credit
PA0302,SA0302,SU010,2024-01-27,22688.25,Credit
PA0303,SA0303,SU001,2024-01-31,14627.12,Cash
PA0304,SA0304,SU005,2024-01-30,17016.969999999998,Mobile Payment
PA0305,SA0305,SU001,2024-01-18,14969.8,Bank Transfer
PA0306,SA0306,SU008,2024-01-18,10393.16,Cash
PA0307,SA0307,SU004,2024-02-09,8507.439999999999,Mobile Payment
PA0308,SA0308,SU002,2024-02-05,10948.54,Mobile Payment
PA0309,SA0309,SU010,2024-02-04,22541.530000000002,Mobile Payment
PA0310,SA0310,SU010,2024-02-09,33304.6,Bank Transfer
PA0311,SA0311,SU010,2024-01-30,4038.45,Mobile Payment
PA0312,SA0312,SU006,2024-01-16,15707.85,Cash
PA0313,SA0313,SU005,2024-01-29,7985.21,Credit
PA0314,SA0314,SU003,2024-01-26,2265.1200000000003,Credit
PA0315,SA0315,SU001,2024-01-23,25074.51,Credit
PA0316,SA0316,SU004,2024-01-20,17056.850000000002,Bank Transfer
PA0317,SA0317,SU001,2024-01-26,21423.86,Credit
PA0318,SA0318,SU008,2024-01-31,27228.14,Credit
PA0319,SA0319,SU008,2024-02-07,24643.02,Credit
PA0320,SA0320,SU008,2024-02-07,17803.58,Bank Transfer
PA0321,SA0321,SU007,2024-02-04,1461.5,Bank Transfer
PA0322,SA0322,SU007,2024-02-08,8715.92,Credit
PA0323,SA0323,SU001,2024-02-04,16340.090000000002,Mobile Payment
PA0324,SA0324,SU004,2024-01-24,14000.07,Bank Transfer
PA0325,SA0325,SU002,2024-01-26,2684.5,Cash
PA0326,SA0326,SU008,2024-02-07,11879.5,Cash
PA0327,SA0327,SU005,2024-01-08,786.9300000000001,Mobile Payment
PA0328,SA0328,SU005,2024-01-06,2899.67,Mobile Payment
PA0329,SA0329,SU005,2024-02-06,9685.710000000001,Mobile Payment
PA0330,SA0330,SU002,2024-01-10,4788.860000000001,Mobile Payment
PA0331,SA0331,SU007,2024-01-29,21658.809999999998,Credit
PA0332,SA0332,SU008,2024-01-11,8007.79,Mobile Payment
PA0333,SA0333,SU005,2024-01-29,25436.29,Mobile Payment
PA0334,SA0334,SU010,2024-01-26,21683.47,Cash
PA0335,SA0335,SU005,2024-02-05,15113.64,Cash
PA0336,SA0336,SU002,2024-01-19,13021.72,Cash
PA0337,SA0337,SU006,2024-01-22,4707.96,Mobile Payment
PA0338,SA0338,SU006,2024-01-19,7067.360000000001,Credit
PA0339,SA0339,SU003,2024-01-15,25016.859999999997,Mobile Payment
PA0340,SA0340,SU006,2024-01-31,13968.69,Credit
PA0341,SA0341,SU003,2024-01-19,15158.02,Bank Transfer
PA0342,SA0342,SU004,2024-01-27,4572.31,Bank Transfer
PA0343,SA0343,SU005,2024-02-06,12259.03,Cash
PA0344,SA0344,SU001,2024-01-23,1179.39,Cash
PA0345,SA0345,SU008,2024-01-22,28995.93,Credit
PA0346,SA0346,SU003,2024-01-24,15873.32,Cash
PA0347,SA0347,SU006,2024-02-01,25024.54,Credit
PA0348,SA0348,SU008,2024-02-03,11752.66,Bank Transfer
PA0349,SA0349,SU005,2024-02-07,6726.68,Mobile Payment
PA0350,SA0350,SU010,2024-01-13,467.03999999999996,Mobile Payment
PA0351,SA0351,SU010,2024-01-25,29461.32,Cash
PA0352,SA0352,SU009,2024-01-08,9431.37,Mobile Payment
PA0353,SA0353,SU003,2024-01-22,24783.74,Cash
PA0354,SA0354,SU006,2024-02-04,207.62,Mobile Payment
PA0355,SA0355,SU010,2024-02-01,29785.09,Credit
PA0356,SA0356,SU001,2024-01-07,25624.16,Mobile Payment
PA0357,SA0357,SU008,2024-01-16,9456.11,Bank Transfer
PA0358,SA0358,SU009,2024-02-02,22270.300000000003,Cash
PA0359,SA0359,SU005,2024-01-24,11846.26,Bank Transfer
PA0360,SA0360,SU002,2024-01-10,23484.440000000002,Bank Transfer
PA0361,SA0361,SU007,2024-01-22,11507.470000000001,Cash
PA0362,SA0362,SU004,2024-01-11,16115.710000000001,Cash
PA0363,SA0363,SU008,2024-01-19,1223.8100000000002,Bank Transfer
PA0364,SA0364,SU004,2024-02-06,18684.68,Mobile Payment
PA0365,SA0365,SU003,2024-01-16,18744.239999999998,Bank Transfer
PA0366,SA0366,SU007,2024-01-27,26343.59,Mobile Payment
PA0367,SA0367,SU006,2024-01-28,20327.94,Credit
PA0368,SA0368,SU008,2024-01-21,7260.08,Cash
PA0369,SA0369,SU006,2024-01-20,6589.4,Cash
PA0370,SA0370,SU005,2024-02-03,11553.91,Credit
PA0371,SA0371,SU007,2024-02-03,10142.43,Cash
PA0372,SA0372,SU006,2024-01-15,18993.04,Credit
PA0373,SA0373,SU004,2024-01-11,7584.85,Cash
PA0374,SA0374,SU003,2024-01-23,4433.34,Bank Transfer
PA0375,SA0375,SU002,2024-01-15,259.64,Cash
PA0376,SA0376,SU004,2024-01-26,6872.03,Mobile Payment
PA0377,SA0377,SU007,2024-01-20,2372.76,Credit
PA0378,SA0378,SU008,2024-02-03,19282.199999999997,Mobile Payment
PA0379,SA0379,SU003,2024-01-19,10902.61,Bank Transfer
PA0380,SA0380,SU005,2024-02-07,3285.57,Cash
PA0381,SA0381,SU007,2024-02-06,21416.68,Cash
PA0382,SA0382,SU003,2024-02-09,13811.81,Bank Transfer
PA0383,SA0383,SU005,2024-01-12,11775.949999999999,Bank Transfer
PA0384,SA0384,SU007,2024-02-06,2080.79,Mobile Payment
PA0385,SA0385,SU009,2024-01-24,9402.2,Cash
PA0386,SA0386,SU005,2024-01-19,23480.05,Bank Transfer
PA0387,SA0387,SU005,2024-02-04,23877.45,Mobile Payment
PA0388,SA0388,SU008,2024-01-06,16832.12,Bank Transfer
PA0389,SA0389,SU010,2024-02-01,11663.18,Cash
PA0390,SA0390,SU010,2024-01-25,12677.16,Credit
PA0391,SA0391,SU007,2024-02-03,1031.99,Mobile Payment
PA0392,SA0392,SU010,2024-02-02,22011.06,Mobile Payment
PA0393,SA0393,SU004,2024-01-07,10159.949999999999,Bank Transfer
PA0394,SA0394,SU009,2024-01-18,19906.8,Mobile Payment
PA0395,SA0395,SU006,2024-02-11,13169.890000000001,Mobile Payment
PA0396,SA0396,SU002,2024-01-19,16647.74,Credit
PA0397,SA0397,SU010,2024-01-06,6745.09,Credit
PA0398,SA0398,SU008,2024-01-14,16540.22,Cash
PA0399,SA0399,SU001,2024-01-14,24882.63,Cash
PA0400,SA0400,SU008,2024-01-23,11769.87,Mobile Payment
PA0401,SA0401,SU010,2024-02-13,11603.76,Cash
PA0402,SA0402,SU002,2024-01-14,1333.28,Mobile Payment
PA0403,SA0403,SU010,2024-02-09,14087.67,Credit
PA0404,SA0404,SU009,2024-02-05,17259.56,Bank Transfer
PA0405,SA0405,SU004,2024-01-28,13976.060000000001,Mobile Payment
PA0406,SA0406,SU002,2024-01-11,22996.66,Bank Transfer
PA0407,SA0407,SU009,2024-01-25,24215.170000000002,Bank Transfer
PA0408,SA0408,SU007,2024-02-08,1490.85,Cash
PA0409,SA0409,SU006,2024-02-02,22351.33,Cash
PA0410,SA0410,SU010,2024-02-01,1756.44,Mobile Payment
PA0411,SA0411,SU002,2024-01-15,6954.8,Credit
PA0412,SA0412,SU003,2024-01-13,12050.4,Bank Transfer
PA0413,SA0413,SU007,2024-01-12,456.64,Bank Transfer
PA0414,SA0414,SU007,2024-02-01,3933.87,Bank Transfer
PA0415,SA0415,SU006,2024-01-17,18879.210000000003,Bank Transfer
PA0416,SA0416,SU005,2024-01-23,19166.690000000002,Credit
PA0417,SA0417,SU010,2024-01-14,12467.63,Bank Transfer
PA0418,SA0418,SU001,2024-02-03,556.72,Mobile Payment
PA0419,SA0419,SU008,2024-01-19,2822.24,Cash
PA0420,SA0420,SU006,2024-01-24,6961.3099999999995,Credit
PA0421,SA0421,SU003,2024-01-29,12097.800000000001,Mobile Payment
PA0422,SA0422,SU004,2024-01-13,4201.63,Bank Transfer
PA0423,SA0423,SU008,2024-01-17,27373.2,Cash
PA0424,SA0424,SU001,2024-02-09,23559.75,Credit
PA0425,SA0425,SU009,2024-02-03,4442.5,Bank Transfer
