OrderID,ClientID,ProductID,LocationID,Quantity,OrderDate,Status
OR0065,CL016,PR002,LO082,4400.86,2024-01-19,Pending
OR0066,CL037,PR005,LO056,6679.91,2024-01-16,Pending
OR0067,CL004,PR004,LO021,393.67,2024-01-27,Fulfilled
OR0068,CL024,PR003,LO004,8568.11,2024-01-09,Fulfilled
OR0069,CL033,PR004,LO077,8113.74,2024-01-25,Fulfilled
OR0070,CL003,PR002,LO010,9895.96,2024-01-31,Pending
OR0071,CL013,PR002,LO003,8922.8,2024-01-27,Pending
OR0072,CL041,PR003,LO091,5109.65,2024-01-11,Fulfilled
OR0073,CL030,PR001,LO011,8419.66,2024-01-07,Fulfilled
OR0074,CL008,PR004,LO020,887.39,2024-01-28,Pending
OR0075,CL025,PR002,LO069,4336.98,2024-01-12,Fulfilled
OR0076,CL027,PR003,LO041,3259.93,2024-01-02,Fulfilled
OR0077,CL018,PR002,LO011,9523.82,2024-01-20,Pending
OR0078,CL049,PR001,LO096,5786.84,2024-01-01,Fulfilled
OR0079,CL040,PR005,LO088,2151.16,2024-01-31,Fulfilled
OR0080,CL016,PR003,LO060,7058.92,2024-01-09,Fulfilled
OR0081,CL006,PR001,LO055,4101.59,2024-01-28,Pending
OR0082,CL015,PR002,LO046,3827.95,2024-01-08,Pending
OR0083,CL014,PR004,LO055,9254.6,2024-01-02,Fulfilled
OR0084,CL011,PR005,LO077,9050.2,2024-01-21,Pending
OR0085,CL017,PR003,LO092,4332.79,2024-01-27,Fulfilled
OR0086,CL004,PR004,LO049,5139.5,2024-01-27,Pending
OR0087,CL018,PR003,LO090,2430.79,2024-01-16,Fulfilled
OR0088,CL041,PR004,LO025,2180.02,2024-01-22,Pending
OR0089,CL013,PR003,LO070,6301.44,2024-01-25,Pending
OR0090,CL022,PR004,LO051,7688.03,2024-01-25,Fulfilled
OR0091,CL016,PR005,LO020,9935.01,2024-01-04,Fulfilled
OR0092,CL035,PR004,LO088,4068.19,2024-01-28,Fulfilled
OR0093,CL020,PR002,LO026,2363.22,2024-01-13,Fulfilled
OR0094,CL019,PR004,LO011,3980.92,2024-01-26,Pending
OR0095,CL001,PR002,LO076,4587.74,2024-01-24,Pending
OR0096,CL042,PR005,LO046,2056.8,2024-01-17,Fulfilled
OR0097,CL041,PR001,LO068,2151.06,2024-01-21,Pending
OR0098,CL048,PR001,LO017,463.98,2024-01-06,Fulfilled
OR0099,CL030,PR003,LO076,6503.13,2024-01-28,Fulfilled
OR0100,CL007,PR003,LO013,1963.33,2024-01-27,Fulfilled
OR0101,CL005,PR004,LO013,9948.85,2024-01-27,Pending
OR0102,CL044,PR004,LO026,7511.96,2024-01-14,Pending
OR0103,CL024,PR003,LO036,2462.95,2024-01-22,Pending
OR0104,CL048,PR001,LO005,5328.11,2024-01-26,Fulfilled
OR0105,CL022,PR005,LO065,7626.93,2024-01-29,Pending
OR0106,CL009,PR003,LO075,9219.15,2024-01-22,Pending
OR0107,CL032,PR004,LO065,5340.97,2024-01-29,Pending
OR0108,CL027,PR003,LO019,5371.62,2024-01-22,Pending
OR0109,CL040,PR002,LO059,310.94,2024-01-24,Pending
OR0110,CL021,PR005,LO087,4227.16,2024-01-23,Fulfilled
OR0111,CL027,PR004,LO083,1585.36,2024-01-20,Fulfilled
OR0112,CL012,PR002,LO006,5984.61,2024-01-26,Pending
OR0113,CL034,PR002,LO055,889.41,2024-01-16,Fulfilled
OR0114,CL043,PR001,LO013,1325.5,2024-01-05,Fulfilled
OR0115,CL007,PR001,LO099,8811.0,2024-01-24,Pending
OR0116,CL013,PR004,LO075,6737.88,2024-01-09,Fulfilled
OR0117,CL039,PR002,LO001,7724.14,2024-01-28,Pending
OR0118,CL017,PR003,LO036,8339.01,2024-01-17,Fulfilled
OR0119,CL045,PR001,LO039,8364.68,2024-01-21,Fulfilled
OR0120,CL048,PR004,LO059,788.79,2024-01-01,Pending
OR0121,CL009,PR005,LO041,1557.51,2024-01-30,Fulfilled
OR0122,CL018,PR004,LO068,9397.14,2024-01-08,Fulfilled
OR0123,CL031,PR004,LO045,4157.25,2024-01-27,Pending
OR0124,CL023,PR005,LO006,5673.66,2024-01-03,Fulfilled
OR0125,CL028,PR004,LO060,1964.44,2024-01-15,Fulfilled
OR0126,CL040,PR003,LO052,5175.44,2024-01-13,Pending
OR0127,CL003,PR001,LO073,7832.31,2024-01-06,Pending
OR0128,CL027,PR004,LO046,1497.55,2024-01-02,Pending
OR0129,CL044,PR004,LO024,1739.93,2024-01-13,Fulfilled
OR0130,CL011,PR005,LO084,3861.36,2024-01-14,Pending
OR0131,CL002,PR004,LO039,9593.25,2024-01-26,Pending
OR0132,CL021,PR003,LO099,2145.61,2024-01-06,Fulfilled
OR0133,CL029,PR002,LO026,8379.99,2024-01-17,Pending
OR0134,CL010,PR005,LO008,6953.32,2024-01-04,Fulfilled
OR0135,CL048,PR003,LO058,3556.52,2024-01-28,Fulfilled
OR0136,CL004,PR002,LO042,9967.95,2024-01-25,Pending
OR0137,CL033,PR005,LO022,6003.74,2024-01-04,Fulfilled
OR0138,CL047,PR004,LO080,1472.44,2024-01-15,Pending
OR0139,CL029,PR001,LO064,8584.78,2024-01-26,Pending
OR0140,CL009,PR004,LO028,2985.09,2024-01-19,Fulfilled
OR0141,CL006,PR005,LO010,749.95,2024-01-07,Pending
OR0142,CL008,PR001,LO082,5763.0,2024-01-10,Pending
OR0143,CL038,PR005,LO027,4239.03,2024-01-14,Pending
OR0144,CL037,PR004,LO036,6696.78,2024-01-15,Pending
OR0145,CL010,PR001,LO047,5405.77,2024-01-28,Fulfilled
OR0146,CL014,PR002,LO014,8132.65,2024-01-18,Fulfilled
OR0147,CL010,PR004,LO055,4181.23,2024-01-23,Fulfilled
OR0148,CL003,PR002,LO039,5158.77,2024-01-06,Fulfilled
OR0149,CL050,PR001,LO067,6817.71,2024-01-19,Fulfilled
OR0150,CL017,PR003,LO005,9398.55,2024-01-23,Fulfilled
OR0151,CL014,PR003,LO100,6759.97,2024-01-17,Fulfilled
OR0152,CL027,PR003,LO085,8057.29,2024-01-13,Fulfilled
OR0153,CL037,PR002,LO097,2752.86,2024-01-21,Fulfilled
OR0154,CL028,PR003,LO097,8566.71,2024-01-05,Pending
OR0155,CL003,PR005,LO052,5295.86,2024-01-10,Fulfilled
OR0156,CL036,PR004,LO043,5491.41,2024-01-15,Fulfilled
OR0157,CL017,PR004,LO083,5276.97,2024-01-28,Pending
OR0158,CL016,PR004,LO056,6326.94,2024-01-17,Pending
OR0159,CL050,PR001,LO020,4603.22,2024-01-10,Fulfilled
OR0160,CL050,PR003,LO003,331.83,2024-01-15,Fulfilled
OR0161,CL001,PR002,LO062,5893.9,2024-01-28,Fulfilled
OR0162,CL032,PR005,LO088,6247.83,2024-01-11,Fulfilled
OR0163,CL046,PR005,LO017,7481.28,2024-01-25,Fulfilled
OR0164,CL022,PR005,LO004,4116.14,2024-01-25,Pending
OR0165,CL027,PR002,LO003,2836.17,2024-01-17,Fulfilled
OR0166,CL020,PR004,LO094,9191.08,2024-01-19,Pending
OR0167,CL034,PR001,LO044,9432.0,2024-01-14,Pending
OR0168,CL007,PR004,LO017,5035.15,2024-01-03,Pending
OR0169,CL022,PR001,LO073,5418.27,2024-01-25,Fulfilled
OR0170,CL042,PR003,LO009,8787.82,2024-01-09,Fulfilled
OR0171,CL010,PR005,LO007,827.77,2024-01-30,Pending
OR0172,CL020,PR002,LO001,9753.8,2024-01-05,Fulfilled
OR0173,CL015,PR001,LO095,1884.05,2024-01-17,Pending
OR0174,CL009,PR005,LO040,704.4,2024-01-09,Fulfilled
OR0175,CL010,PR002,LO059,6698.92,2024-01-04,Fulfilled
OR0176,CL046,PR003,LO022,8982.04,2024-01-30,Fulfilled
OR0177,CL036,PR002,LO008,8411.15,2024-01-11,Fulfilled
OR0178,CL043,PR001,LO088,808.21,2024-01-06,Fulfilled
OR0179,CL021,PR003,LO083,3204.65,2024-01-31,Fulfilled
OR0180,CL031,PR005,LO005,4500.65,2024-01-23,Pending
OR0181,CL037,PR002,LO082,6099.54,2024-01-04,Fulfilled
OR0182,CL048,PR004,LO020,8086.04,2024-01-27,Fulfilled
OR0183,CL016,PR002,LO014,1290.61,2024-01-02,Pending
OR0184,CL024,PR003,LO066,6831.45,2024-01-12,Fulfilled
OR0185,CL031,PR004,LO007,194.32,2024-01-05,Pending
OR0186,CL047,PR002,LO045,8560.26,2024-01-06,Fulfilled
OR0187,CL028,PR002,LO046,407.98,2024-01-17,Pending
OR0188,CL031,PR004,LO037,3519.17,2024-01-04,Pending
OR0189,CL049,PR002,LO093,4437.81,2024-01-16,Pending
OR0190,CL014,PR002,LO030,7121.22,2024-01-21,Pending
OR0191,CL026,PR002,LO098,9096.62,2024-01-20,Pending
OR0192,CL024,PR005,LO085,1025.32,2024-01-24,Pending
OR0193,CL048,PR001,LO007,4777.02,2024-01-02,Fulfilled
OR0194,CL016,PR003,LO076,5320.24,2024-01-22,Pending
OR0195,CL015,PR002,LO092,9416.38,2024-01-10,Fulfilled
OR0196,CL002,PR005,LO025,827.82,2024-01-15,Fulfilled
OR0197,CL001,PR002,LO028,4112.48,2024-01-06,Fulfilled
OR0198,CL046,PR001,LO046,3310.84,2024-01-06,Fulfilled
OR0199,CL045,PR003,LO081,4667.85,2024-01-06,Pending
OR0200,CL049,PR002,LO040,4634.27,2024-01-28,Pending
OR0201,CL027,PR003,LO095,5316.66,2024-01-21,Fulfilled
OR0202,CL033,PR002,LO007,3950.86,2024-01-23,Fulfilled
OR0203,CL044,PR004,LO020,9236.59,2024-01-09,Pending
OR0204,CL026,PR002,LO016,2705.86,2024-01-06,Pending
OR0205,CL030,PR001,LO098,3476.67,2024-01-29,Pending
OR0206,CL036,PR005,LO059,2420.57,2024-01-25,Fulfilled
OR0207,CL029,PR001,LO002,4845.37,2024-01-23,Pending
OR0208,CL013,PR005,LO092,2141.35,2024-01-20,Pending
OR0209,CL022,PR003,LO050,134.01,2024-01-01,Pending
OR0210,CL039,PR005,LO076,8733.5,2024-01-05,Pending
OR0211,CL025,PR002,LO070,9164.24,2024-01-27,Fulfilled
OR0212,CL018,PR002,LO054,6881.43,2024-01-01,Fulfilled
OR0213,CL013,PR005,LO027,1124.83,2024-01-04,Fulfilled
OR0214,CL040,PR004,LO036,9225.31,2024-01-31,Fulfilled
OR0215,CL001,PR004,LO009,2837.42,2024-01-10,Pending
OR0216,CL048,PR004,LO004,2132.94,2024-01-10,Fulfilled
OR0217,CL014,PR001,LO058,6298.26,2024-01-20,Pending
OR0218,CL030,PR003,LO008,6028.98,2024-01-27,Fulfilled
OR0219,CL006,PR002,LO089,9690.32,2024-01-12,Fulfilled
OR0220,CL012,PR005,LO013,596.13,2024-01-09,Fulfilled
OR0221,CL018,PR003,LO039,8923.62,2024-01-17,Fulfilled
OR0222,CL035,PR003,LO002,1305.05,2024-01-31,Pending
OR0223,CL040,PR003,LO077,4181.78,2024-01-01,Fulfilled
OR0224,CL044,PR004,LO002,8453.75,2024-01-16,Pending
OR0225,CL029,PR004,LO007,6642.47,2024-01-16,Fulfilled
OR0226,CL035,PR005,LO098,6902.06,2024-01-05,Fulfilled
OR0227,CL043,PR001,LO078,1351.89,2024-01-13,Fulfilled
OR0228,CL022,PR002,LO094,1568.21,2024-01-30,Fulfilled
OR0229,CL013,PR004,LO075,299.34,2024-01-20,Pending
OR0230,CL020,PR003,LO064,8259.09,2024-01-19,Pending
OR0231,CL005,PR004,LO027,6332.61,2024-01-11,Fulfilled
OR0232,CL048,PR002,LO071,8855.39,2024-01-14,Pending
OR0233,CL038,PR005,LO062,2362.29,2024-01-04,Fulfilled
OR0234,CL010,PR004,LO038,1498.59,2024-01-23,Pending
OR0235,CL033,PR005,LO037,3056.61,2024-01-18,Fulfilled
OR0236,CL049,PR005,LO071,4249.99,2024-01-01,Fulfilled
OR0237,CL049,PR004,LO030,9416.99,2024-01-08,Pending
OR0238,CL049,PR001,LO094,7452.81,2024-01-01,Pending
OR0239,CL039,PR005,LO057,7264.21,2024-01-07,Fulfilled
OR0240,CL027,PR002,LO093,344.87,2024-01-04,Fulfilled
OR0241,CL028,PR002,LO010,7633.21,2024-01-04,Fulfilled
OR0242,CL013,PR001,LO021,8582.0,2024-01-10,Pending
OR0243,CL046,PR003,LO032,2932.11,2024-01-04,Fulfilled
OR0244,CL014,PR002,LO076,6498.01,2024-01-12,Pending
OR0245,CL004,PR001,LO090,5628.03,2024-01-27,Pending
OR0246,CL037,PR001,LO060,8355.99,2024-01-13,Pending
OR0247,CL020,PR003,LO040,2138.94,2024-01-14,Pending
OR0248,CL040,PR002,LO061,9573.66,2024-01-19,Fulfilled
OR0249,CL034,PR005,LO073,7429.15,2024-01-19,Fulfilled
OR0250,CL038,PR004,LO026,1446.1,2024-01-11,Fulfilled
OR0251,CL006,PR004,LO057,8074.55,2024-01-28,Pending
OR0252,CL021,PR005,LO055,2471.92,2024-01-12,Pending
OR0253,CL042,PR003,LO049,3661.01,2024-01-15,Pending
OR0254,CL032,PR003,LO016,5649.16,2024-01-26,Pending
OR0255,CL042,PR003,LO009,4859.82,2024-01-10,Pending
OR0256,CL007,PR003,LO029,5296.81,2024-01-12,Fulfilled
OR0257,CL048,PR001,LO044,5947.25,2024-01-05,Pending
OR0258,CL012,PR005,LO082,4249.23,2024-01-08,Pending
OR0259,CL029,PR003,LO038,7085.4,2024-01-19,Pending
OR0260,CL026,PR001,LO046,7217.84,2024-01-19,Fulfilled
OR0261,CL037,PR001,LO045,9603.61,2024-01-21,Pending
OR0262,CL036,PR003,LO044,8363.47,2024-01-06,Fulfilled
OR0263,CL025,PR005,LO070,3518.27,2024-01-26,Fulfilled
OR0264,CL021,PR003,LO062,4667.27,2024-01-29,Fulfilled
OR0265,CL039,PR003,LO086,4748.94,2024-01-27,Pending
OR0266,CL033,PR001,LO035,9866.92,2024-01-24,Fulfilled
OR0267,CL002,PR001,LO076,2941.63,2024-01-27,Pending
OR0268,CL043,PR001,LO025,794.5,2024-01-10,Pending
OR0269,CL032,PR004,LO050,7839.12,2024-01-27,Pending
OR0270,CL036,PR001,LO079,3996.85,2024-01-22,Pending
OR0271,CL019,PR004,LO017,5635.09,2024-01-13,Pending
OR0272,CL011,PR005,LO098,134.88,2024-01-27,Fulfilled
OR0273,CL034,PR001,LO017,4998.0,2024-01-13,Fulfilled
OR0274,CL046,PR002,LO014,7688.72,2024-01-11,Fulfilled
OR0275,CL028,PR005,LO098,9184.17,2024-01-16,Pending
OR0276,CL050,PR004,LO090,919.6,2024-01-06,Fulfilled
OR0277,CL050,PR001,LO021,9974.38,2024-01-24,Pending
OR0278,CL040,PR004,LO034,3656.92,2024-01-19,Fulfilled
OR0279,CL017,PR005,LO007,9908.24,2024-01-12,Fulfilled
OR0280,CL047,PR004,LO013,4413.75,2024-01-25,Fulfilled
OR0281,CL028,PR001,LO055,7457.64,2024-01-26,Fulfilled
OR0282,CL007,PR003,LO029,1882.74,2024-01-11,Pending
OR0283,CL008,PR005,LO021,2991.47,2024-01-23,Fulfilled
OR0284,CL046,PR001,LO071,1319.38,2024-01-01,Pending
OR0285,CL042,PR002,LO098,5996.28,2024-01-31,Pending
OR0286,CL004,PR003,LO092,9803.64,2024-01-11,Fulfilled
OR0287,CL013,PR004,LO072,5528.28,2024-01-16,Fulfilled
OR0288,CL010,PR005,LO065,1409.03,2024-01-16,Fulfilled
OR0289,CL045,PR003,LO087,1706.82,2024-01-03,Fulfilled
OR0290,CL035,PR005,LO073,9764.47,2024-01-15,Fulfilled
OR0291,CL032,PR001,LO086,9017.76,2024-01-31,Fulfilled
OR0292,CL030,PR002,LO013,7448.61,2024-01-19,Fulfilled
OR0293,CL005,PR005,LO023,725.29,2024-01-11,Fulfilled
OR0294,CL011,PR003,LO047,5227.41,2024-01-02,Fulfilled
OR0295,CL036,PR002,LO018,6697.29,2024-01-23,Pending
OR0296,CL009,PR001,LO012,4098.09,2024-01-11,Fulfilled
OR0297,CL035,PR004,LO034,4626.08,2024-01-08,Pending
OR0298,CL019,PR003,LO007,1180.94,2024-01-20,Fulfilled
OR0299,CL014,PR003,LO054,9742.62,2024-01-21,Pending
OR0300,CL029,PR003,LO029,9479.16,2024-01-28,Pending
OR0301,CL026,PR003,LO093,2703.99,2024-01-26,Pending
OR0302,CL023,PR004,LO037,9216.54,2024-01-15,Fulfilled
OR0303,CL016,PR004,LO081,4371.44,2024-01-29,Pending
OR0304,CL027,PR001,LO083,7300.77,2024-01-20,Pending
OR0305,CL022,PR005,LO021,6733.58,2024-01-10,Pending
OR0306,CL038,PR003,LO014,6546.99,2024-01-07,Fulfilled
OR0307,CL019,PR001,LO019,3559.85,2024-01-29,Pending
OR0308,CL034,PR005,LO073,4230.54,2024-01-28,Fulfilled
OR0309,CL024,PR003,LO095,6865.08,2024-01-25,Pending
OR0310,CL006,PR003,LO009,9602.11,2024-01-30,Pending
OR0311,CL005,PR003,LO020,2653.19,2024-01-23,Fulfilled
OR0312,CL028,PR001,LO097,5312.19,2024-01-14,Pending
OR0313,CL012,PR003,LO084,2838.39,2024-01-18,Pending
OR0314,CL046,PR002,LO021,952.38,2024-01-16,Fulfilled
OR0315,CL005,PR002,LO009,9160.33,2024-01-13,Pending
OR0316,CL035,PR001,LO095,5848.84,2024-01-07,Pending
OR0317,CL043,PR001,LO098,9961.92,2024-01-16,Pending
OR0318,CL050,PR002,LO058,9996.27,2024-01-21,Pending
OR0319,CL045,PR003,LO003,9468.43,2024-01-26,Fulfilled
OR0320,CL022,PR001,LO082,6248.71,2024-01-25,Pending
OR0321,CL022,PR003,LO049,501.79,2024-01-30,Fulfilled
OR0322,CL022,PR002,LO095,4053.87,2024-01-31,Pending
OR0323,CL023,PR001,LO032,6248.42,2024-01-26,Fulfilled
OR0324,CL007,PR004,LO077,7395.76,2024-01-13,Pending
OR0325,CL035,PR003,LO074,1496.59,2024-01-16,Fulfilled
OR0326,CL021,PR003,LO019,5302.01,2024-01-27,Pending
OR0327,CL011,PR005,LO002,346.48,2024-01-03,Fulfilled
OR0328,CL013,PR004,LO052,1325.04,2024-01-04,Pending
OR0329,CL024,PR003,LO067,4632.02,2024-01-28,Fulfilled
OR0330,CL003,PR001,LO067,1411.25,2024-01-01,Pending
OR0331,CL024,PR005,LO030,8495.27,2024-01-20,Fulfilled
OR0332,CL044,PR004,LO007,5188.9,2024-01-03,Fulfilled
OR0333,CL034,PR005,LO052,8789.72,2024-01-21,Pending
OR0334,CL048,PR005,LO030,6661.24,2024-01-17,Fulfilled
OR0335,CL015,PR004,LO039,5624.26,2024-01-30,Fulfilled
OR0336,CL041,PR003,LO046,6083.36,2024-01-15,Pending
OR0337,CL032,PR003,LO066,2392.19,2024-01-12,Fulfilled
OR0338,CL015,PR001,LO089,2836.85,2024-01-14,Fulfilled
OR0339,CL030,PR005,LO099,7503.47,2024-01-05,Fulfilled
OR0340,CL007,PR005,LO028,7641.1,2024-01-20,Pending
OR0341,CL031,PR005,LO070,9028.8,2024-01-11,Fulfilled
OR0342,CL024,PR001,LO083,1921.78,2024-01-19,Pending
OR0343,CL006,PR002,LO091,3597.65,2024-01-30,Pending
OR0344,CL009,PR004,LO016,731.63,2024-01-19,Pending
OR0345,CL030,PR001,LO092,9085.79,2024-01-17,Fulfilled
OR0346,CL035,PR005,LO078,4909.65,2024-01-22,Fulfilled
OR0347,CL018,PR004,LO059,7479.93,2024-01-25,Pending
OR0348,CL022,PR004,LO008,6302.91,2024-01-24,Fulfilled
OR0349,CL031,PR005,LO019,3556.5,2024-01-30,Pending
OR0350,CL046,PR002,LO032,209.38,2024-01-02,Fulfilled
OR0351,CL046,PR003,LO048,9273.65,2024-01-15,Pending
OR0352,CL038,PR003,LO024,5084.03,2024-01-03,Fulfilled
OR0353,CL037,PR004,LO014,8529.53,2024-01-15,Fulfilled
OR0354,CL026,PR005,LO037,139.23,2024-01-24,Pending
OR0355,CL013,PR004,LO035,9101.64,2024-01-28,Pending
OR0356,CL020,PR005,LO079,8925.63,2024-01-05,Fulfilled
OR0357,CL036,PR002,LO063,4087.79,2024-01-04,Pending
OR0358,CL002,PR001,LO063,8169.09,2024-01-27,Fulfilled
OR0359,CL015,PR005,LO072,3595.6,2024-01-17,Fulfilled
OR0360,CL028,PR003,LO042,8135.31,2024-01-03,Pending
OR0361,CL010,PR001,LO066,6576.51,2024-01-18,Pending
OR0362,CL031,PR005,LO040,5607.51,2024-01-02,Pending
OR0363,CL033,PR004,LO060,710.85,2024-01-13,Pending
OR0364,CL025,PR001,LO023,6913.02,2024-01-30,Pending
OR0365,CL002,PR003,LO048,7868.27,2024-01-13,Pending
OR0366,CL043,PR005,LO052,9879.38,2024-01-18,Fulfilled
OR0367,CL020,PR004,LO084,8472.78,2024-01-24,Fulfilled
OR0368,CL003,PR003,LO097,2465.23,2024-01-14,Fulfilled
OR0369,CL008,PR005,LO069,2724.43,2024-01-11,Pending
OR0370,CL020,PR002,LO089,5969.44,2024-01-24,Pending
OR0371,CL007,PR004,LO070,4347.22,2024-01-21,Pending
OR0372,CL021,PR003,LO062,7569.09,2024-01-11,Fulfilled
OR0373,CL001,PR003,LO097,2888.38,2024-01-09,Fulfilled
OR0374,CL032,PR005,LO094,2251.17,2024-01-16,Fulfilled
OR0375,CL018,PR005,LO043,224.75,2024-01-03,Pending
OR0376,CL009,PR003,LO021,2469.39,2024-01-16,Pending
OR0377,CL037,PR002,LO002,977.83,2024-01-17,Pending
OR0378,CL049,PR004,LO021,7451.16,2024-01-24,Fulfilled
OR0379,CL036,PR001,LO086,4161.16,2024-01-12,Pending
OR0380,CL034,PR004,LO080,1155.77,2024-01-31,Fulfilled
OR0381,CL039,PR005,LO045,7658.27,2024-01-28,Fulfilled
OR0382,CL012,PR001,LO004,4630.9,2024-01-31,Fulfilled
OR0383,CL020,PR001,LO090,6860.05,2024-01-09,Fulfilled
OR0384,CL021,PR004,LO036,1012.14,2024-01-25,Pending
OR0385,CL001,PR004,LO048,4405.1,2024-01-17,Pending
OR0386,CL020,PR005,LO088,7836.55,2024-01-13,Fulfilled
OR0387,CL048,PR005,LO051,8575.26,2024-01-24,Fulfilled
OR0388,CL034,PR004,LO092,6778.97,2024-01-03,Fulfilled
OR0389,CL012,PR004,LO026,3583.02,2024-01-22,Pending
OR0390,CL013,PR004,LO044,6678.03,2024-01-15,Fulfilled
OR0391,CL046,PR005,LO081,601.91,2024-01-30,Pending
OR0392,CL043,PR001,LO024,6747.03,2024-01-24,Fulfilled
OR0393,CL036,PR004,LO011,4940.67,2024-01-01,Pending
OR0394,CL023,PR004,LO062,6246.21,2024-01-11,Pending
OR0395,CL031,PR003,LO075,7712.38,2024-01-31,Fulfilled
OR0396,CL014,PR001,LO018,6333.61,2024-01-16,Pending
OR0397,CL040,PR004,LO043,3200.06,2024-01-04,Fulfilled
OR0398,CL009,PR002,LO028,8593.56,2024-01-06,Fulfilled
OR0399,CL016,PR003,LO080,8187.6,2024-01-06,Fulfilled
OR0400,CL003,PR004,LO047,3921.02,2024-01-10,Pending
OR0401,CL031,PR001,LO021,6569.39,2024-01-31,Pending
OR0402,CL011,PR005,LO028,470.37,2024-01-07,Fulfilled
OR0403,CL028,PR004,LO032,6935.77,2024-01-30,Fulfilled
OR0404,CL004,PR002,LO006,7294.58,2024-01-28,Pending
